매물종류,매물타입,위도,경도
원룸,전세,37.654302,127.044494
원룸,전세,37.6547,127.013545
원룸,전세,37.655202,127.016425
원룸,전세,37.635128,127.042161
원룸,전세,37.6547,127.013545
원룸,전세,37.655381,127.037474
원룸,전세,37.64877,127.035566
원룸,전세,37.645801,127.03587
원룸,전세,37.654302,127.044494
원룸,전세,37.650076,127.014927
원룸,전세,37.651548,127.026538
원룸,전세,37.655202,127.016425
원룸,전세,37.655533,127.037532
원룸,전세,37.68314,127.044273
원룸,전세,37.659315,127.036401
원룸,전세,37.655381,127.037474
원룸,전세,37.648713,127.023704
원룸,전세,37.6547,127.013545
원룸,전세,37.655381,127.037474
원룸,전세,37.654587,127.013537
원룸,전세,37.655533,127.037532
원룸,전세,37.642341,127.035711
원룸,전세,37.642341,127.035711
원룸,전세,37.686555,127.040302
원룸,전세,37.651548,127.026538
원룸,전세,37.655381,127.037474
원룸,전세,37.65709,127.040905
원룸,전세,37.674869,127.047813
원룸,전세,37.667041,127.034475
원룸,전세,37.648134,127.037151
원룸,전세,37.655938,127.03721
원룸,전세,37.650712,127.034774
원룸,전세,37.651548,127.026538
원룸,전세,37.686555,127.040302
원룸,전세,37.6547,127.013545
원룸,전세,37.6547,127.013545
원룸,전세,37.655377,127.016296
원룸,전세,37.65709,127.040905
원룸,전세,37.655377,127.016296
원룸,전세,37.655377,127.016296
원룸,전세,37.655202,127.016425
원룸,전세,37.654965,127.036698
원룸,전세,37.655381,127.037474
원룸,전세,37.654587,127.013537
원룸,전세,37.650092,127.031944
원룸,전세,37.686555,127.040302
원룸,전세,37.655377,127.016296
원룸,전세,37.655202,127.016425
원룸,전세,37.651548,127.026538
원룸,전세,37.651548,127.026538
원룸,전세,37.660908,127.038258
원룸,전세,37.686794,127.040148
원룸,전세,37.651548,127.026538
원룸,전세,37.651548,127.026538
원룸,전세,37.686555,127.040302
원룸,전세,37.64301,127.036045
원룸,전세,37.651548,127.026538
원룸,전세,37.64877,127.035566
원룸,전세,37.655533,127.037532
원룸,전세,37.655381,127.037474
원룸,전세,37.635292,127.039475
원룸,전세,37.634799,127.038693
원룸,전세,37.635128,127.042161
원룸,전세,37.68078,127.044585
원룸,전세,37.648268,127.033737
원룸,전세,37.598816,127.054642
원룸,전세,37.583842,127.039798
원룸,전세,37.588799,127.036108
원룸,전세,37.575482,127.040719
원룸,전세,37.587474,127.060652
원룸,전세,37.562878,127.063192
원룸,전세,37.579617,127.025763
원룸,전세,37.592992,127.057689
원룸,전세,37.586211,127.062432
원룸,전세,37.595088,127.058464
원룸,전세,37.595947,127.062563
원룸,전세,37.595947,127.062563
원룸,전세,37.579617,127.025763
원룸,전세,37.566985,127.055292
원룸,전세,37.585398,127.055124
원룸,전세,37.575151,127.040764
원룸,전세,37.587193,127.035801
원룸,전세,37.579512,127.075561
원룸,전세,37.586686,127.055826
원룸,전세,37.575107,127.040913
원룸,전세,37.58084,127.051769
원룸,전세,37.581217,127.072971
원룸,전세,37.585358,127.055213
원룸,전세,37.581208,127.030933
원룸,전세,37.598936,127.054154
원룸,전세,37.588932,127.036026
원룸,전세,37.580841,127.028031
원룸,전세,37.590637,127.05036
원룸,전세,37.584914,127.047667
원룸,전세,37.575099,127.047751
원룸,전세,37.566985,127.055292
원룸,전세,37.576642,127.03388
원룸,전세,37.566283,127.064511
원룸,전세,37.578551,127.07354
원룸,전세,37.576403,127.070287
원룸,전세,37.56743,127.056235
원룸,전세,37.58551,127.055173
원룸,전세,37.575536,127.042187
원룸,전세,37.574295,127.042106
원룸,전세,37.562723,127.064721
원룸,전세,37.581156,127.028487
원룸,전세,37.586211,127.062432
원룸,전세,37.575536,127.042187
원룸,전세,37.592123,127.056771
원룸,전세,37.590703,127.057938
원룸,전세,37.574295,127.042106
원룸,전세,37.581846,127.030174
원룸,전세,37.578551,127.07354
원룸,전세,37.581628,127.036196
원룸,전세,37.585358,127.055213
원룸,전세,37.585398,127.055124
원룸,전세,37.585358,127.055213
원룸,전세,37.590965,127.058504
원룸,전세,37.581238,127.028604
원룸,전세,37.588373,127.054152
원룸,전세,37.575536,127.042187
원룸,전세,37.586909,127.035412
원룸,전세,37.576642,127.03388
원룸,전세,37.589188,127.037269
원룸,전세,37.576125,127.039619
원룸,전세,37.575107,127.040913
원룸,전세,37.574908,127.069113
원룸,전세,37.592188,127.059674
원룸,전세,37.587128,127.035315
원룸,전세,37.585026,127.039953
원룸,전세,37.561379,127.069944
원룸,전세,37.586909,127.035412
원룸,전세,37.561379,127.069944
원룸,전세,37.588799,127.036108
원룸,전세,37.586909,127.035412
원룸,전세,37.586909,127.035412
원룸,전세,37.583333,127.034542
원룸,전세,37.575536,127.042187
원룸,전세,37.575391,127.048162
원룸,전세,37.591818,127.059198
원룸,전세,37.576642,127.03388
원룸,전세,37.598816,127.054642
원룸,전세,37.59921,127.056881
원룸,전세,37.579388,127.075809
원룸,전세,37.575676,127.039884
원룸,전세,37.587128,127.035315
원룸,전세,37.585232,127.050223
원룸,전세,37.590165,127.063745
원룸,전세,37.603223,127.062961
원룸,전세,37.59296,127.055375
원룸,전세,37.574543,127.040651
원룸,전세,37.581836,127.032391
원룸,전세,37.599301,127.055316
원룸,전세,37.579617,127.025763
원룸,전세,37.598392,127.055788
원룸,전세,37.574406,127.032128
원룸,전세,37.601222,127.062626
원룸,전세,37.572414,127.066392
원룸,전세,37.570518,127.072591
원룸,전세,37.585625,127.03335
원룸,전세,37.601222,127.062626
원룸,전세,37.572414,127.066392
원룸,전세,37.593585,127.056908
원룸,전세,37.598816,127.054642
원룸,전세,37.576206,127.041274
원룸,전세,37.590625,127.062811
원룸,전세,37.587459,127.056097
원룸,전세,37.561379,127.069944
원룸,전세,37.566283,127.064511
원룸,전세,37.573093,127.034287
원룸,전세,37.575301,127.043433
원룸,전세,37.59132,127.059364
원룸,전세,37.59471,127.060375
원룸,전세,37.576403,127.070287
원룸,전세,37.566985,127.055292
원룸,전세,37.586847,127.061005
